name,slug,category_slug,unit,product_type,description
"Optio accusamus quisquam",optio-accusamus-quisquam,succulents,pcs,sellable,"Sed porro ducimus et dolores laudantium quis."
"Nobis et sit",nobis-et-sit,indoor-plants,pcs,catalog,"Accusantium voluptatem non cupiditate et inventore voluptate id enim est iure."
"Tenetur cum non",tenetur-cum-non,outdoor-plants,kg,catalog,"Quo in vitae aliquid qui reiciendis accusamus soluta fuga unde itaque."
"Velit in nam",velit-in-nam,outdoor-plants,kg,catalog,"Sunt aut vel quas iusto maxime est architecto voluptatum beatae rerum tenetur ab ut et."
"Eveniet voluptatibus dolores",eveniet-voluptatibus-dolores,indoor-plants,pcs,sellable,"Aliquam esse laborum sint a corporis nostrum architecto numquam corrupti omnis eveniet eius quas accusamus."
"Repellendus omnis voluptas",repellendus-omnis-voluptas,outdoor-plants,kg,catalog,"Earum et itaque vel est porro qui nihil vero."
"Quo deleniti non",quo-deleniti-non,indoor-plants,pcs,sellable,"Adipisci minus quis laudantium suscipit perspiciatis magnam modi expedita quas non est ullam."
"Laboriosam qui delectus",laboriosam-qui-delectus,outdoor-plants,kg,catalog,"Sint sint delectus sunt quo deserunt veritatis."
"Voluptatibus enim libero",voluptatibus-enim-libero,outdoor-plants,pcs,catalog,"Et accusamus voluptatem ducimus aut placeat aliquam quia et aut voluptas omnis consequuntur quibusdam."
"Rem voluptas expedita",rem-voluptas-expedita,indoor-plants,kg,catalog,"Dolores expedita ut tenetur quidem velit adipisci autem quia."
